query_index,query_id,query_text,positive_doc_ids,positive_profile_ids,q1,q2,q3,q4
407,query_407,Who likes Synchronized Swimming?,10|13,Tisha Ghent|Vinie Relford,-0.2345679012345679,-0.7287878787878788,-1.0,-0.5113636363636364
428,query_428,Who likes Boots?,10|34,Tisha Ghent|Chaney Gertman,0.025240054869684534,0.5659259259259259,-0.08888888888888902,-1.0
448,query_448,Who likes Rosy Maple Moths?,11|20,Herminia Caranto|Agnes Reap,-0.05679012345679009,-0.40238095238095234,-1.0,-0.8035714285714287
468,query_468,Who likes Slugs?,11|40,Herminia Caranto|Jacey Gnatek,-0.21201646090534995,0.7239506172839507,0.5333333333333337,-1.0
489,query_489,Who likes Continental Shelves?,12|28,Linzy Recknor|Jerrie Roupe,0.05069958847736626,0.17876543209876547,-0.4444444444444444,-1.0
509,query_509,Who likes Halloumi?,13|16,Vinie Relford|Marcellus Meachum,-0.12197530864197528,-0.5270833333333332,-1.0,-0.7031250000000001
530,query_530,Who likes the Chicago White Sox?,13|37,Vinie Relford|Terrell Varadarajan,-0.12093278463648846,0.4948148148148147,0.44444444444444486,-1.0
550,query_550,Who likes Mantis Shrimp?,14|26,Jerrod Dumpit|Nathen Saadia,0.02611796982167353,0.06814814814814829,-0.4444444444444442,-1.0
570,query_570,Who likes Roses?,15|16,Amaris Grow|Marcellus Meachum,-0.09629629629629627,-0.46587301587301577,-1.0,-0.8035714285714287
591,query_591,Who likes Jelly?,15|37,Amaris Grow|Terrell Varadarajan,-0.13366255144032932,0.33283950617283936,0.6222222222222227,-1.0
611,query_611,Who likes Mountains?,16|28,Marcellus Meachum|Jerrie Roupe,0.00627709190672153,0.13925925925925925,-0.0888888888888888,-1.0
632,query_632,Who likes The Game of Life?,17|21,Wellington Hinn|Sheree Riddley,-0.01013991769547325,-0.12938271604938273,-0.6222222222222222,-1.0
652,query_652,Who likes Lantanas?,17|41,Wellington Hinn|Elam Mejiamejia,-0.20098765432098767,0.058974358974359056,1.0,-0.8653846153846154
672,query_672,Who likes Cardamom?,18|34,Georgette Cagna|Chaney Gertman,-0.06360493827160492,0.10765432098765425,0.6222222222222222,-1.0
693,query_693,Who likes Tasmanian Devils?,19|29,Laurine Bellizzi|Camisha Bogosian,-0.011983539094650218,0.07209876543209878,0.26666666666666683,-1.0
713,query_713,Who likes Lard?,20|24,Agnes Reap|Maryann Bohnsack,0.0006584362139917683,0.012839506172839498,-0.0888888888888888,-1.0
733,query_733,Who likes Gingerbread?,20|44,Agnes Reap|Chadwick Frisella,-0.1061728395061728,-0.2964912280701756,1.0,-0.5921052631578946
754,query_754,Who likes Epiphanies?,21|41,Sheree Riddley|Elam Mejiamejia,-0.0548148148148148,-0.30522875816993467,1.0,-0.6617647058823529
774,query_774,Who likes Economics?,22|38,Mathew Weierke|Darwyn Raio,-0.015308641975308587,-0.3103703703703705,1.0,-0.7499999999999999
795,query_795,Who likes Catfish?,23|37,Casimiro Steo|Terrell Varadarajan,0.014320987654321084,-0.3548148148148151,1.0,-0.7499999999999997
815,query_815,Who likes Hot Dogs?,24|36,Maryann Bohnsack|Eustace Comment,0.039999999999999994,-0.3933333333333333,1.0,-0.7499999999999999
835,query_835,Who likes Red Onions?,25|36,Flo Zaugg|Eustace Comment,0.06666666666666671,-0.4493055555555557,1.0,-0.7031249999999999
856,query_856,Who likes Shower Curtains?,26|38,Nathen Saadia|Darwyn Raio,0.10716049382716057,-0.5491228070175439,1.0,-0.5921052631578947
876,query_876,Who likes Sheet Cakes?,27|40,Ruby Gaskin|Jacey Gnatek,0.15555555555555556,-0.647979797979798,1.0,-0.5113636363636364
897,query_897,Who likes Rice Puddings?,28|44,Jerrie Roupe|Chadwick Frisella,0.23358024691358031,-0.7946502057613171,1.0,-0.41666666666666663
917,query_917,Who likes Injera?,30|33,Gaetano Argel|Riya Hayhoe,0.15555555555555567,-0.5944444444444447,1.0,-0.6249999999999998
937,query_937,Who likes Pita Bread?,31|39,Nathaniel Robens|Eudora Cervero,0.277037037037037,-0.8048888888888889,1.0,-0.44999999999999996
958,query_958,Who likes Pens?,33|35,Riya Hayhoe|Cristy Walford,0.25925925925925936,-0.7647342995169083,1.0,-0.48913043478260865
978,query_978,Who likes Beavers?,34|44,Chaney Gertman|Chadwick Frisella,0.4580149457951795,-1.0,0.937796021471424,-0.31970318913798546
999,query_999,Who likes the Pittsburgh Pirates?,37|38,Terrell Varadarajan|Darwyn Raio,0.44395061728395074,-0.9996296296296298,1.0,-0.37499999999999994
